logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
IL1R2	4.52093914413025	4.06907808797857	4.97280020028193	10.3572776423618	19.729021561091	7.91280669505491e-49	5.22338333717096e-46	100.530897601132
TCTN1	-1.51943325004062	-1.6715823814984	-1.36728411858283	2.98421913345729	-19.6921868443828	1.01349011436161e-48	6.31854781298112e-46	100.285182978199
TMEM109	-1.86989936381653	-2.06010678108332	-1.67969194654974	4.70438375145226	-19.3853026051495	8.01435832040788e-48	4.73353310903249e-45	98.2321500344971
VNN1	4.50125639904481	4.0426888965573	4.95982390153233	8.04877869562312	19.355851302553	9.77884540914525e-48	5.4869101590714e-45	98.0345752842329
LRRN3	-3.48434593632493	-3.8424262207468	-3.12626565190306	3.26666883630653	-19.1876883588184	3.05142175056741e-47	1.63062166118417e-44	96.9046382455008
RNF125	-2.64461290307003	-2.9166818437261	-2.37254396241396	3.99919373973367	-19.1674768029721	3.49937334527666e-47	1.78499853094067e-44	96.7686244760725
TRAF5	-2.93038795652941	-3.23292383168728	-2.62785208137155	4.19137378389447	-19.0998536205535	5.53554133435387e-47	2.70086281974431e-44	96.3132345603227
PID1	-2.29830222181933	-2.53575335943618	-2.06085108420247	3.10820038381407	-19.08598955085	6.0816258163619e-47	2.84366687130055e-44	96.2198102031593
OSGEPL1	-1.5971258297549	-1.76313784660448	-1.43111381290533	2.55848298402513	-18.9706148591647	1.33164030641548e-46	5.9774670074378e-44	95.4415525588055
C12orf65	-1.87815775426471	-2.07472718502182	-1.68158832350759	4.12454357706533	-18.8407369932685	3.22299804232538e-46	1.3910955396529e-43	94.5637815600663
PRKCQ	-2.93383224585854	-3.24127053972036	-2.62639395199673	4.0270765138593	-18.8173782896555	3.77902984355256e-46	1.57067677423507e-43	94.4057259308333
BCL11B	-3.91427533929972	-4.32584675845026	-3.50270392014919	4.40129964584925	-18.7537431132033	5.83183256417124e-46	2.33731517982606e-43	93.9748537274221
STMN3	-2.71425477879272	-3.00172529239305	-2.42678426519238	3.96827889396985	-18.6182606356153	1.47084214545725e-45	5.69165191597286e-43	93.0561148158041
RABL2B	-1.69437159385154	-1.87501599930781	-1.51372718839527	3.34822855088945	-18.4954944170289	3.40651011261089e-45	1.27426188279065e-42	92.2219932883914
DYRK2	-2.42643045137956	-2.68617350975396	-2.16668739300516	3.90084653785427	-18.420681657413	5.68721830411367e-45	2.05877302608915e-42	91.7129431485489
TBC1D4	-2.13208950441877	-2.36170147553066	-1.90247753330688	2.95559849214573	-18.3101838450388	1.21366659797383e-44	4.25617705076947e-42	90.9600638075831
PATZ1	-1.47032252007983	-1.62901093875132	-1.31163410140835	3.04060426913065	-18.2704471392533	1.59444821093675e-44	5.42209024943402e-42	90.6890232770951
ZNF573	-2.49271376852521	-2.76255963872831	-2.22286789832211	3.74996117638191	-18.2153884037369	2.32770007495247e-44	7.68277948268137e-42	90.3132181440245
RABL2A	-1.63457458393277	-1.81162973624515	-1.4575194316204	3.36720373140704	-18.2044671669907	2.50919960944294e-44	8.04521086204819e-42	90.2386399400476
KIAA0748	-3.01081118480392	-3.33938106359457	-2.68224130601327	5.19449289625126	-18.0691437350174	6.36775660853174e-44	1.98497124058176e-41	89.3136010557407
CD96	-2.3252820467465	-2.58077098058936	-2.06979311290364	3.33562136098492	-17.946730611658	1.48079213343283e-43	4.49120251929277e-41	88.475316317758
UPP1	2.52269727822549	2.2454535278225	2.79994102862847	8.82174513055779	17.9425916367946	1.52369069592439e-43	4.49969920780618e-41	88.4469480791873
CSRP2BP	-1.12820858420168	-1.25238180707669	-1.00403536132667	2.89183861556784	-17.9160904369275	1.82947152155954e-43	5.25313087630727e-41	88.2652729776447
BCL9L	-1.9206143895084	-2.13204130135274	-1.70918747766407	4.79492526182412	-17.9127271765608	1.8724401626474e-43	5.25313087630727e-41	88.2422119742311
