logFC	AveExpr	t	P.Value	adj.P.Val	B
PASK	-2.28647334484785	3.16737739286432	-19.5380207255804	2.86024765288978e-48	4.22338146851699e-46	99.2684809267791
ZNF529	-1.64581915295064	3.14458584656281	-19.4821593333882	4.16821472704684e-48	6.07476696972983e-46	98.8936653750863
DNMT1	-2.15252785009291	5.96568638821106	-19.4498776654428	5.1823776419846e-48	7.45597973055784e-46	98.6769073863954
LDOC1L	-1.89454508992799	3.85192565089447	-19.4180746979468	6.42323195547563e-48	9.12424164611994e-46	98.4632520734211
WBP11	-1.13442017995238	4.85779331437688	-19.2963008726348	1.46268262816334e-47	2.05177805665613e-45	97.6441453396878
NUP93	-1.89131428528571	3.84387145552261	-19.278868941506	1.64576613721907e-47	2.28009723356449e-45	97.5267586051202
THEM4	-1.54069339981591	2.86302939809045	-19.2636035033827	1.82487121424049e-47	2.49740302026912e-45	97.4239341095013
CD247	-2.20286687156911	4.72982641264824	-19.2403659962282	2.13573061083292e-47	2.88761071262254e-45	97.2673633739562
GCET2	-1.24462517723984	2.87530571050251	-19.0574330516628	7.3825752460451e-47	9.86276897751406e-45	96.0327707772512
SLC7A6	-1.44987333335482	3.23694450273367	-18.9840869014938	1.21509950115634e-46	1.60421724729135e-44	95.5367689758743
WDR82	-1.21135325628107	8.17899113827136	-18.9486204972675	1.54646858140703e-46	2.0179616768081e-44	95.2967252981547
NAT10	-1.19435388911963	3.06533886263317	-18.8910139085301	2.28859709260461e-46	2.95173656172031e-44	94.9065521622385
MTR	-1.50412940275726	3.5871315130402	-18.889349468429	2.31467490136684e-46	2.95173656172031e-44	94.8952736614972
TSHZ1	-1.98906009989257	4.32030563080905	-18.8702482436066	2.63614153307889e-46	3.32390789710239e-44	94.7658202263567
CD5	-2.30737283104994	4.51128390063317	-18.8443073166847	3.1455552164154e-46	3.92215784873485e-44	94.5899519169449
EVL	-2.36613191156272	5.26897396776382	-18.8229791626342	3.63751398113155e-46	4.48573427431409e-44	94.4453040318076
FAM50B	-0.973631117940767	2.82848545938191	-18.796465184877	4.35797265943311e-46	5.31577925914765e-44	94.2654203120228
RFTN1	-2.37655139905342	5.16085097117588	-18.7854483353382	4.6978909175659e-46	5.66878837386285e-44	94.190655342971
KIF1B	2.74270263874855	6.35069281196985	18.7758975271609	5.01400884912119e-46	5.98587311753596e-44	94.1258294421157
DHRS3	-2.12072748155807	3.46293428250251	-18.7738614634405	5.08410929708588e-46	6.00567100335766e-44	94.1120084917866
ZAP70	-2.20723059708711	4.03881052462814	-18.7563450327097	5.72924245700259e-46	6.69724571380032e-44	93.9930880870344
NONO	-1.12971874824738	8.77602053075879	-18.7364913389654	6.56022503648356e-46	7.58957168653799e-44	93.8582617842563
FCER1G	1.43764737521312	11.1861992698643	18.7319849680544	6.76507186514538e-46	7.70977583133384e-44	93.827653429697
ZNF573	-1.98573638235017	3.74996117638191	-18.7311972707265	6.80153098647345e-46	7.70977583133384e-44	93.8223029868055
IL2RB	-3.37821587142741	5.92032121722613	-18.6562672704654	1.13443481076926e-45	1.27306274464526e-43	93.3130508131343
SIRPG	-1.92337677510743	3.45557600554271	-18.6358455030521	1.30429034146913e-45	1.44918279326402e-43	93.1741579389144
RAB32	1.70500892062718	7.50876601602513	18.6249985313469	1.40464453630553e-45	1.5453844104334e-43	93.1003681646185
MBOAT2	1.88367125961034	7.11181726119095	18.5982017931007	1.68700767369296e-45	1.8380194285614e-43	92.9180243895262
FCRL3	-2.63660183565215	4.30759228620603	-18.5966994994876	1.704424604772e-45	1.83913970334148e-43	92.9077995880961
ANKRD22	4.33581900861731	7.47594789871859	18.5944645429294	1.73066973142427e-45	1.84967387867077e-43	92.8925877688285
WWP1	-1.46758213672648	4.04880184392965	-18.5780853864212	1.93578236109025e-45	2.04937260907121e-43	92.7810907215242
TXN	1.45662103221487	9.94218631994975	18.5511375889828	2.32761218974271e-45	2.44116485918624e-43	92.5975916228409
SAMD3	-2.29512699531417	3.72207993335678	-18.5390687040557	2.52798199201646e-45	2.62676054763043e-43	92.5153858124336
DPP4	-2.66082578009988	3.81118374564322	-18.4891643935871	3.5574114299683e-45	3.66250193276186e-43	92.1753139186094
TNFRSF25	-2.56563019067015	4.39090295065327	-18.4174924027087	5.81291799342004e-45	5.93023324746906e-43	91.6864737447323
LILRA6	2.22700451834611	9.18743522327638	18.4084457010656	6.18483702681602e-45	6.2528145148585e-43	91.6247344615671
ID3	-1.59474049258304	3.94485314430653	-18.398298011003	6.6304706664515e-45	6.6434948052606e-43	91.5554718864395
